location,size,total_sqft,price,category,bhk,price_per_sqft
Vijayanagar,3 BHK,1500,7550000,Urban,3,5033.333333
Raja Rajeshwari Nagar,2 BHK,1295,4390000,Urban,2,3389.96139
Budigere,2 BHK,1162,5990000,Rural,2,5154.905336
Sarjapur  Road,2 BHK,1035,4920000,Urban,2,4753.623188
Attibele,4 Bedroom,1600,5280000,Urban,4,3300
KUDLU MAIN ROAD,3 BHK,1464,4600000,Urban,3,3142.076503
Hennur Road,3 BHK,1866,6158000,Rural,3,3300.107181
Geleyara Balaga Layout,2 BHK,700,2600000,Rural,2,3714.285714
Kalena Agrahara,3 BHK,1804,12000000,Rural,3,6651.884701
Sarjapur,2 BHK,913,3200000,Urban,2,3504.928806
Talaghattapura,3 BHK,1868,13100000,Rural,3,7012.847966
Kengeri Satellite Town,2 BHK,883,4500000,Urban,2,5096.262741
Sundara Nagar,2 Bedroom,900,11000000,Rural,2,12222.22222
Kogilu,3 BHK,1664,7395000,Rural,3,4444.110577
Hegde Nagar,3 BHK,2026,13200000,Rural,3,6515.301086
Balagere,2 BHK,1210,8090000,Rural,2,6685.950413
Meenakunte,4 Bedroom,4111,25000000,Rural,4,6081.245439
Kadugodi,3 BHK,1762,9145000,Rural,3,5190.124858
Jigani,3 BHK,1252,5500000,Rural,3,4392.971246
Gollarapalya Hosahalli,2 BHK,861,3450000,Rural,2,4006.968641
7th Phase JP Nagar,3 BHK,1420,10000000,Urban,3,7042.253521
Srirampura,6 Bedroom,1450,25000000,Rural,6,17241.37931
Electronics City Phase 1,3 BHK,1490,7880000,Rural,3,5288.590604
Bisuvanahalli,3 BHK,1075,4600000,Rural,3,4279.069767
Old Madras Road,3 BHK,1425,9400000,Rural,3,6596.491228
Kalena Agrahara,2 BHK,1200,4000000,Rural,2,3333.333333
Kaggadasapura,3 BHK,1280,5600000,Urban,3,4375
Silver Springs Layout,2 BHK,1084,5000000,Rural,2,4612.546125
Chandapura,2 BHK,1015,2588000,Rural,2,2549.753695
Kanakpura Road,2 BHK,1017,5125000,Urban,2,5039.331367
Haralur Road,2 BHK,1027,4400000,Rural,2,4284.323272
Electronic City Phase II,2 BHK,1069,4500000,Urban,2,4209.541628
Hebbal,2 BHK,1349,9820000,Urban,2,7279.466271
9th Phase JP Nagar,2 BHK,1005,5000000,Urban,2,4975.124378
Jakkur,2 BHK,1417,7500000,Rural,2,5292.872265
TC Palaya,3 Bedroom,1475,9800000,Rural,3,6644.067797
Maruthi Sevanagar,2 BHK,950,4700000,Rural,2,4947.368421
RMV 2nd Stage,4 BHK,2000,12000000,Rural,4,6000
Giri Nagar,3 Bedroom,880,14000000,Rural,3,15909.09091
Giri Nagar,3 Bedroom,880,14000000,Urban,3,15909.09091
Sarjapur  Road,4 BHK,1863,10400000,Urban,4,5582.393988
Singasandra,2 BHK,1010,2950000,Urban,2,2920.792079
Kalena Agrahara,3 BHK,1425,7000000,Urban,3,4912.280702
Vijayanagar,3 BHK,1450,10000000,Urban,3,6896.551724
Kothanur,3 BHK,1847,10500000,Urban,3,5684.894423
AECS Layout,2 BHK,1100,4500000,Urban,2,4090.909091
Kanakpura Road,1 BHK,525,2600000,Urban,1,4952.380952
Mallasandra,3 BHK,1665,9500000,Urban,3,5705.705706
Begur,4 BHK,1664,6500000,Urban,4,3906.25
JP Nagar,3 BHK,1850,15000000,Urban,3,8108.108108
Panathur,2 BHK,1438,10000000,Urban,2,6954.102921
Sunder Ram Shetty Nagar,3 BHK,1560,11500000,Urban,3,7371.794872
Yelahanka,2 BHK,1350,5555000,Urban,2,4114.814815
Kanakpura Road,3 BHK,1550,6700000,Urban,3,4322.580645
Malleshpalya,2 BHK,1140,4650000,Urban,2,4078.947368
Srirampura,5 Bedroom,1200,18000000,Urban,5,15000
Kodathi,2 BHK,850,2700000,Urban,2,3176.470588
Whitefield,2 BHK,1280,7500000,Urban,2,5859.375
Munnekollal,2 BHK,1170,5200000,Urban,2,4444.444444
Motappa Layout,2 BHK,1113,5100000,Urban,2,4582.210243
Hennur Road,2 BHK,1385,8309000,Urban,2,5999.277978
Electronic City,2 BHK,1128,6500000,Urban,2,5762.411348
Marathahalli,2 Bedroom,1200,12800000,Urban,2,10666.66667
Akshaya Vana,4 Bedroom,1200,16500000,Urban,4,13750
Rajaji Nagar,3 BHK,2390,41500000,Urban,3,17364.01674
Giri Nagar,4 Bedroom,2400,40000000,Urban,4,16666.66667
Haralur Road,3 BHK,1464,5600000,Urban,3,3825.136612
Manayata Tech Park,2 BHK,1200,5500000,Urban,2,4583.333333
Kaval Byrasandra,2 BHK,1200,5200000,Urban,2,4333.333333
Kaggalipura,3 BHK,1150,5500000,Urban,3,4782.608696
Basavanna Nagar,3 BHK,1645,9500000,Urban,3,5775.075988
Sarjapur  Road,2 BHK,1000,6700000,Urban,2,6700
Haralur Road,4 Bedroom,2650,19800000,Urban,4,7471.698113
6th Phase JP Nagar,2 BHK,1192,7400000,Urban,2,6208.053691
Ulsoor,3 BHK,2135,21500000,Urban,3,10070.25761
Whitefield,2 BHK,1173,5800000,Urban,2,4944.58653
Uttarahalli,2 BHK,1020,4500000,Urban,2,4411.764706
Thigalarapalya,4 BHK,3122,23000000,Urban,4,7367.072389
Somasundara Palya,3 BHK,1600,6400000,Urban,3,4000
T.C PALYA,2 Bedroom,1200,7900000,Urban,2,6583.333333
Muneshwara Nagar,2 BHK,1230,4800000,Urban,2,3902.439024
 Devarachikkanahalli,2 BHK,1250,4000000,Urban,2,3200
Kalena Agrahara,2 BHK,1325,7600000,Urban,2,5735.849057
7th Phase JP Nagar,3 BHK,1850,15000000,Urban,3,8108.108108
Kanakpura Road,1 BHK,525,2153000,Urban,1,4100.952381
Basaveshwara Nagar,2 BHK,1200,6500000,Urban,2,5416.666667
Bull Temple Road,3 Bedroom,1350,14000000,Urban,3,10370.37037
Bommasandra,3 BHK,1260,4936000,Urban,3,3917.460317
Prashanth Nagar,3 BHK,1800,15000000,Urban,3,8333.333333
Suragajakkanahalli,3 Bedroom,11,7400000,Urban,3,672727.2727
Ardendale,2 BHK,1100,4325000,Urban,2,3931.818182
Harlur,2 BHK,1508,7700000,Urban,2,5106.100796
Sampigehalli,3 BHK,1592,7500000,Urban,3,4711.055276
Akshaya Nagar,2 BHK,1388,5700000,Urban,2,4106.628242
Electronic City Phase II,1 BHK,630,2835000,Urban,1,4500
RMV,3 Bedroom,2000,36500000,Urban,3,18250
Banashankari3rd stage bigbazar,3 BHK,1762,12500000,Urban,3,7094.211124
Bagalur Main Road,2 BHK,950,5000000,Urban,2,5263.157895
Kodihalli,4 BHK,3252,33500000,Urban,4,10301.35301
Magadi Road,2 BHK,1116,5000000,Urban,2,4480.286738
Narayanapura,2 BHK,1308,8904000,Urban,2,6807.33945
MS Pallya,3 BHK,1200,9000000,Urban,3,7500
Binny Mills Employees Colony,4 Bedroom,1500,23000000,Urban,4,15333.33333
Bannerghatta Road,1 BHK,500,1850000,Urban,1,3700
Hennur,2 BHK,1075,5200000,Urban,2,4837.209302
Chandapura,1 BHK,530,1166000,Urban,1,2200
Bellandur,2 BHK,1205,6600000,Urban,2,5477.178423
5th Phase JP Nagar,2 BHK,1075,6000000,Urban,2,5581.395349
KR Puram,2 BHK,930,3900000,Urban,2,4193.548387
Balagere,2 BHK,1380,6000000,Urban,2,4347.826087
Hebbal,4 BHK,2483,21200000,Urban,4,8538.0588
Kodigehaali,2 BHK,1166,5500000,Urban,2,4716.981132
Bannerghatta Road,2 BHK,1050,6500000,Urban,2,6190.47619
Gopalapura,3 BHK,2023.71,27500000,Urban,3,13588.90355
Begur Road,2 BHK,1200,4680000,Urban,2,3900
Lakshminarayana Pura,3 BHK,1600,10800000,Urban,3,6750
Billekahalli,3 BHK,1935,11000000,Urban,3,5684.754522
8th Phase JP Nagar,1 BHK,451,2990000,Urban,1,6629.711752
Electronic City,3 BHK,1800,9500000,Urban,3,5277.777778
Jalahalli,3 BHK,1400,7700000,Urban,3,5500
Hegde Nagar,3 BHK,1801,11500000,Urban,3,6385.341477
Mahadevpura,2 BHK,1451,9000000,Urban,2,6202.618884
Anekal,2 Bedroom,1200,3600000,Urban,2,3000
Begur Road,2 BHK,1160,4400000,Urban,2,3793.103448
Kengeri,2 BHK,1000,2500000,Urban,2,2500
Kanakpura Road,2 BHK,950,4000000,Urban,2,4210.526316
"Hoodi Circle, ",3 BHK,1629,7900000,Urban,3,4849.600982
Vijayanagar,3 BHK,1580,13400000,Urban,3,8481.012658
Vijayanagar,3 BHK,1826,12100000,Urban,3,6626.506024
7th Phase JP Nagar,2 BHK,1245,9400000,Urban,2,7550.200803
Raja Rajeshwari Nagar,2 BHK,1145,4579000,Urban,2,3999.126638
Sompura,2 BHK,825,3300000,Urban,2,4000
Yeshwanthpur,3 BHK,1693,10800000,Urban,3,6379.208506
Electronics City Phase 1,2 BHK,1113.27,5300000,Urban,2,4760.749863
Ashirvad Colony,2 BHK,1460,5800000,Urban,2,3972.60274
Doddathoguru,2 BHK,1050,3200000,Urban,2,3047.619048
Dodda Nekkundi,2 BHK,1260,5500000,Urban,2,4365.079365
K N Extension,6 BHK,700,12000000,Urban,6,17142.85714
Hosur Road,2 BHK,1656,12000000,Urban,2,7246.376812
Chandapura,3 BHK,1208,4500000,Urban,3,3725.165563
Whitefield,3 BHK,1910,16100000,Urban,3,8429.319372
Whitefield,4 BHK,3252,23000000,Urban,4,7072.570726
Battarahalli,2 Bedroom,1200,6500000,Urban,2,5416.666667
Gokula Extension,4 BHK,1200,17500000,Urban,4,14583.33333
7th Phase JP Nagar,2 BHK,1175,8200000,Urban,2,6978.723404
Kamakshipalya,2 Bedroom,1000,16500000,Urban,2,16500
Bannerghatta Road,4 Bedroom,1200,12500000,Urban,4,10416.66667
Rajaji Nagar,3 BHK,2390,41000000,Urban,3,17154.81172
Rajaji Nagar,7 BHK,12000,220000000,Urban,7,18333.33333
Sultan Palaya,2 Bedroom,550,6200000,Urban,2,11272.72727
Sanne Amanikere,2 BHK,1185,3800000,Urban,2,3206.751055
Kengeri,2 BHK,750,3800000,Urban,2,5066.666667
Mahalakshmi Layout,6 Bedroom,1200,25000000,Urban,6,20833.33333
Kanakpura Road,3 BHK,1550,6450000,Urban,3,4161.290323
Amco Colony,3 BHK,1760,8800000,Urban,3,5000
Billekahalli,2 BHK,1125,6200000,Urban,2,5511.111111
Nagarbhavi,3 Bedroom,1350,15000000,Urban,3,11111.11111
